# ENERGY SUPPLY GROUP 49
# 9.0 m² of solar panels on the roof of a house in Rotterdam.
#
# time [s], power [W]
0, 0.000000
900, 0.000000
1800, 0.000000
2700, 0.000000
3600, 0.000000
4500, 0.000000
5400, 0.000000
6300, 0.000000
7200, 0.000000
8100, 0.000000
9000, 0.000000
9900, 0.000000
10800, 0.000000
11700, 0.000000
12600, 0.000000
13500, 0.000000
14400, 0.000000
15300, 0.000000
16200, 0.000000
17100, 0.000000
18000, 0.000000
18900, 0.000000
19800, 0.000000
20700, 0.000000
21600, 0.000000
22500, 0.000000
23400, 0.000000
24300, 0.000000
25200, 0.000000
26100, 0.000000
27000, 0.000000
27900, 0.000000
28800, 0.000000
29700, 38.177761
30600, 66.811082
31500, 97.035143
32400, 132.031424
33300, 165.436965
34200, 198.842507
35100, 233.838788
36000, 262.472109
36900, 287.923950
37800, 311.785050
38700, 334.055411
39600, 348.372072
40500, 361.097992
41400, 369.051692
42300, 364.279472
43200, 362.688732
44100, 356.325772
45000, 346.781332
45900, 327.692451
46800, 311.785050
47700, 287.923950
48600, 262.472109
49500, 232.248048
50400, 202.023987
51300, 168.618446
52200, 135.212904
53100, 101.807363
54000, 68.401822
54900, 39.768501
55800, 0.000000
56700, 0.000000
57600, 0.000000
58500, 0.000000
59400, 0.000000
60300, 0.000000
61200, 0.000000
62100, 0.000000
63000, 0.000000
63900, 0.000000
64800, 0.000000
65700, 0.000000
66600, 0.000000
67500, 0.000000
68400, 0.000000
69300, 0.000000
70200, 0.000000
71100, 0.000000
72000, 0.000000
72900, 0.000000
73800, 0.000000
74700, 0.000000
75600, 0.000000
76500, 0.000000
77400, 0.000000
78300, 0.000000
79200, 0.000000
80100, 0.000000
81000, 0.000000
81900, 0.000000
82800, 0.000000
83700, 0.000000
84600, 0.000000
85500, 0.000000
86400, 0.000000
87300, 0.000000
88200, 0.000000
89100, 0.000000
90000, 0.000000
90900, 0.000000
91800, 0.000000
92700, 0.000000
93600, 0.000000
94500, 0.000000
95400, 0.000000
96300, 0.000000
97200, 0.000000
98100, 0.000000
99000, 0.000000
99900, 0.000000
100800, 0.000000
101700, 0.000000
102600, 0.000000
103500, 0.000000
104400, 0.000000
105300, 0.000000
106200, 0.000000
107100, 0.000000
108000, 0.000000
108900, 0.000000
109800, 0.000000
110700, 0.000000
111600, 0.000000
112500, 0.000000
113400, 0.000000
114300, 0.000000
115200, 0.000000
116100, 38.177761
117000, 66.811082
117900, 97.035143
118800, 130.440684
119700, 165.436965
120600, 197.251767
121500, 227.475828
122400, 256.109148
123300, 281.560989
124200, 303.831350
125100, 322.920231
126000, 335.646151
126900, 346.781332
127800, 353.144292
128700, 359.507252
129600, 357.916512
130500, 351.553552
131400, 342.009111
132300, 327.692451
133200, 310.194310
134100, 287.923950
135000, 262.472109
135900, 235.429528
136800, 205.205467
137700, 171.799926
138600, 138.394385
139500, 103.398103
140400, 71.583302
141300, 42.949981
142200, 19.088881
143100, 0.000000
144000, 0.000000
144900, 0.000000
145800, 0.000000
146700, 0.000000
147600, 0.000000
148500, 0.000000
149400, 0.000000
150300, 0.000000
151200, 0.000000
152100, 0.000000
153000, 0.000000
153900, 0.000000
154800, 0.000000
155700, 0.000000
156600, 0.000000
157500, 0.000000
158400, 0.000000
159300, 0.000000
160200, 0.000000
161100, 0.000000
162000, 0.000000
162900, 0.000000
163800, 0.000000
164700, 0.000000
165600, 0.000000
166500, 0.000000
167400, 0.000000
168300, 0.000000
169200, 0.000000
170100, 0.000000
171000, 0.000000
171900, 0.000000
172800, 0.000000
173700, 0.000000
174600, 0.000000
175500, 0.000000
176400, 0.000000
