# ENERGY DEMAND GROUP 29
# Household in Rotterdam with an annual energy consumption of 8.51e+09 J.
#
# time [s], power [W]
0, 18.383483
900, 18.386190
1800, 19.533913
2700, 16.867716
3600, 17.555072
4500, 17.557657
5400, 18.653660
6300, 16.107610
7200, 17.986780
8100, 17.989429
9000, 19.112384
9900, 16.503723
10800, 18.129034
11700, 18.131704
12600, 19.263541
13500, 16.634247
14400, 17.651234
15300, 17.653833
16200, 18.755840
17100, 16.195843
18000, 19.582091
18900, 19.584974
19800, 20.807529
20700, 17.967496
21600, 37.834814
22500, 37.840386
23400, 40.202499
24300, 34.715234
25200, 143.089795
26100, 143.110866
27000, 152.044288
27900, 131.291663
28800, 288.470937
29700, 288.513418
30600, 306.523315
31500, 264.685747
32400, 327.099684
33300, 327.147853
34200, 347.569431
35100, 300.129452
36000, 364.482505
36900, 364.536179
37800, 387.291651
38700, 334.429960
39600, 306.368265
40500, 306.413381
41400, 325.540649
42300, 281.107393
43200, 326.950270
44100, 326.998417
45000, 347.410667
45900, 299.992358
46800, 296.962428
47700, 297.006159
48600, 315.546199
49500, 272.477092
50400, 272.603706
51300, 272.643850
52200, 289.663120
53100, 250.126811
54000, 280.813841
54900, 280.855194
55800, 298.387042
56700, 257.659999
57600, 325.778188
58500, 325.826163
59400, 346.165237
60300, 298.916917
61200, 327.704861
62100, 327.753119
63000, 348.212479
63900, 300.684730
64800, 358.552931
65700, 358.605731
66600, 380.991007
67500, 328.989295
68400, 353.984873
69300, 354.037001
70200, 376.137082
71100, 324.797886
72000, 384.153992
72900, 384.210563
73800, 408.194171
74700, 352.479481
75600, 419.086095
76500, 419.147810
77400, 445.312308
78300, 384.531340
79200, 299.043540
80100, 299.087577
81000, 317.757546
81900, 274.386611
82800, 163.872832
83700, 163.896964
84600, 174.127918
85500, 150.361085
86400, 16.000406
87300, 16.002763
88200, 17.001704
89100, 14.681131
90000, 15.279383
90900, 15.281633
91800, 16.235560
92700, 14.019558
93600, 15.655129
94500, 15.657434
95400, 16.634819
96300, 14.364322
97200, 15.778942
98100, 15.781266
99000, 16.766381
99900, 14.477927
100800, 15.363080
101700, 15.365342
102600, 16.324494
103500, 14.096353
104400, 17.043637
105300, 17.046147
106200, 18.110220
107100, 15.638344
108000, 32.930234
108900, 32.935084
109800, 34.990993
110700, 30.215050
111600, 124.540865
112500, 124.559205
113400, 132.334575
114300, 114.272142
115200, 251.076048
116100, 251.113022
117000, 266.788271
117900, 230.374165
118800, 284.697297
119700, 284.739222
120600, 302.513522
121500, 261.223254
122400, 317.234130
123300, 317.280846
124200, 337.086495
125100, 291.077339
126000, 266.653320
126900, 266.692588
127800, 283.340362
128700, 244.667050
129600, 284.567252
130500, 284.609157
131400, 302.375338
132300, 261.103931
133200, 258.466775
134100, 258.504837
135000, 274.641506
135900, 237.155507
136800, 237.265709
137700, 237.300649
138600, 252.113687
139500, 217.702525
140400, 244.411552
141300, 244.447545
142200, 259.706714
143100, 224.259175
144000, 283.547108
144900, 283.588864
145800, 301.291355
146700, 260.167901
147600, 285.224023
148500, 285.266026
149400, 303.073211
150300, 261.706550
151200, 312.073215
152100, 312.119171
153000, 331.602612
153900, 286.341955
154800, 308.097321
