# ENERGY DEMAND GROUP 49
# Household in Rotterdam with an annual energy consumption of 8.51e+09 J.
#
# time [s], power [W]
0, 17.440628
900, 16.816394
1800, 16.979419
2700, 17.758310
3600, 16.810324
4500, 16.208649
5400, 16.365782
6300, 17.116524
7200, 17.838359
8100, 17.199889
9000, 17.366631
9900, 18.163285
10800, 18.055367
11700, 17.409130
12600, 17.577901
13500, 18.384246
14400, 17.822392
15300, 17.184493
16200, 17.351086
17100, 18.147027
18000, 18.459360
18900, 17.798663
19800, 17.971210
20700, 18.795597
21600, 39.079839
22500, 37.681094
23400, 38.046389
24300, 39.791678
25200, 140.399279
26100, 135.374111
27000, 136.686481
27900, 142.956653
28800, 293.410410
29700, 282.908669
30600, 285.651297
31500, 298.754882
32400, 342.448789
33300, 330.191867
34200, 333.392878
35100, 348.686496
36000, 376.462697
36900, 362.988350
37800, 366.507302
38700, 383.319967
39600, 383.400045
40500, 369.677397
41400, 373.261195
42300, 390.383679
43200, 354.528959
44100, 341.839665
45000, 345.153593
45900, 360.986707
46800, 336.954219
47700, 324.893959
48600, 328.043609
49500, 343.091842
50400, 325.513637
51300, 313.862858
52200, 316.905568
53100, 331.442870
54000, 301.855477
54900, 291.051471
55800, 293.873039
56700, 307.353777
57600, 320.196411
58500, 308.735946
59400, 311.728954
60300, 326.028791
61200, 316.984910
62100, 305.639391
63000, 308.602380
63900, 322.758792
64800, 331.743861
65700, 319.870090
66600, 322.971037
67500, 337.786578
68400, 358.923650
69300, 346.077061
70200, 349.432069
71100, 365.461447
72000, 354.401023
72900, 341.716308
73800, 345.029041
74700, 360.856440
75600, 305.755876
76500, 294.812267
77400, 297.670293
78300, 311.325221
79200, 197.005932
80100, 189.954699
81000, 191.796195
81900, 200.594396
82800, 118.549359
83700, 114.306242
84600, 115.414372
85500, 120.708736
86400, 18.347348
87300, 17.690660
88200, 17.862161
89100, 18.681546
90000, 17.684275
90900, 17.051320
91800, 17.216622
92700, 18.006394
93600, 18.765757
94500, 18.094093
95400, 18.269504
96300, 19.107575
97200, 18.994047
98100, 18.314212
99000, 18.491757
99900, 19.340023
100800, 18.748959
101700, 18.077897
102600, 18.253151
103500, 19.090472
104400, 19.419042
105300, 18.723996
106200, 18.905514
107100, 19.772760
108000, 41.111558
108900, 39.640094
109800, 40.024381
110700, 41.860406
111600, 147.698490
112500, 142.412069
113400, 143.792667
114300, 150.388819
115200, 308.664509
116100, 297.616794
117000, 300.502009
117900, 314.286835
118800, 360.252342
119700, 347.358196
120600, 350.725623
121500, 366.814341
122400, 396.034597
123300, 381.859733
124200, 385.561632
125100, 403.248370
126000, 403.332611
126900, 388.896536
127800, 392.666653
128700, 410.679317
129600, 372.960548
130500, 359.611550
131400, 363.097766
132300, 379.754027
133200, 354.472115
134100, 341.784855
135000, 345.098252
135900, 360.928827
136800, 342.436749
137700, 330.180258
138600, 333.381156
139500, 348.674237
140400, 317.548627
141300, 306.182931
142200, 309.151190
143100, 323.332777
144000, 336.843086
144900, 324.786804
145800, 327.935416
146700, 342.978685
147600, 333.464623
148500, 321.529262
149400, 324.646294
150300, 339.538683
151200, 348.990876
152100, 336.499800
153000, 339.761962
153900, 355.347747
154800, 377.583714
155700, 364.069244
156600, 367.598675
157500, 384.461404
158400, 372.825961
159300, 359.481780
160200, 362.966738
161100, 379.616988
162000, 321.651803
162900, 310.139247
163800, 313.145859
164700, 327.510693
165600, 207.248064
166500, 199.830244
167400, 201.767478
168300, 211.023089
169200, 124.712616
170100, 120.248904
171000, 121.414644
171900, 126.984257
172800, 18.566537
173700, 17.902004
174600, 18.075553
175500, 18.904727
176400, 17.895542
177300, 17.255025
178200, 17.422302
179100, 18.221510
180000, 18.989944
180900, 18.310256
181800, 18.487763
182700, 19.335846
183600, 19.220961
184500, 18.533005
185400, 18.712671
186300, 19.571071
187200, 18.972946
188100, 18.293866
189000, 18.471214
189900, 19.318538
190800, 19.651034
191700, 18.947685
192600, 19.131371
193500, 20.008978
194400, 41.602702
195300, 40.113659
196200, 40.502537
197100, 42.360496
198000, 149.462987
198900, 144.113410
199800, 145.510502
200700, 152.185456
201600, 312.352003
202500, 301.172306
203400, 304.091989
204300, 318.041497
205200, 364.556136
206100, 351.507949
207000, 354.915606
207900, 371.196529
208800, 400.765868
209700, 386.421663
210600, 390.167787
211500, 408.065821
212400, 408.151068
213300, 393.542532
214200, 397.357688
215100, 415.585542
216000, 377.416162
216900, 363.907689
217800, 367.435554
218700, 384.290800
219600, 358.706855
220500, 345.868025
221400, 349.221006
222300, 365.240703
223200, 346.527707
224100, 334.124793
225000, 337.363931
225900, 352.839712
226800, 321.342256
227700, 309.840779
228600, 312.844498
229500, 327.195508
230400, 340.867219
231300, 328.666905
