# ENERGY DEMAND GROUP 19
# Household in Rotterdam with an annual energy consumption of 8.51e+09 J.
#
# time [s], power [W]
0, 17.940462
900, 17.421918
1800, 17.887800
2700, 18.188005
3600, 16.217992
4500, 15.749233
5400, 16.170386
6300, 16.441768
7200, 17.544922
8100, 17.037810
9000, 17.493421
9900, 17.787006
10800, 17.293038
11700, 16.793206
12600, 17.242276
13500, 17.531647
14400, 16.691350
15300, 16.208910
16200, 16.642355
17100, 16.921657
18000, 17.787080
18900, 17.272969
19800, 17.734868
20700, 18.032506
21600, 38.553703
22500, 37.439361
23400, 38.440533
24300, 39.085666
25200, 145.175683
26100, 140.979579
27000, 144.749536
27900, 147.178814
28800, 300.910115
29700, 292.212721
30600, 300.026826
31500, 305.062067
32400, 320.235912
33300, 310.979932
34200, 319.295894
35100, 324.654520
36000, 357.247138
36900, 346.921400
37800, 356.198478
38700, 362.176427
39600, 340.932661
40500, 331.078470
41400, 339.931890
42300, 345.636843
43200, 334.076920
44100, 324.420886
45000, 333.096274
45900, 338.686507
46800, 284.489427
47700, 276.266651
48600, 283.654339
49500, 288.414806
50400, 292.213320
51300, 283.767296
52200, 291.355560
53100, 296.245274
54000, 308.674062
54900, 299.752262
55800, 307.767983
56700, 312.933140
57600, 330.062204
58500, 320.522209
59400, 329.093343
60300, 334.616396
61200, 322.993824
62100, 313.658131
63000, 322.045711
63900, 327.450487
64800, 313.886184
65700, 304.813734
66600, 312.964805
67500, 318.217179
68400, 313.597768
69300, 304.533655
70200, 312.677236
71100, 317.924784
72000, 306.390616
72900, 297.534816
73800, 305.491240
74700, 310.618188
75600, 322.051225
76500, 312.742777
77400, 321.105879
78300, 326.494882
79200, 222.601456
80100, 216.167467
81000, 221.948034
81900, 225.672907
82800, 117.035226
83700, 113.652484
84600, 116.691682
85500, 118.650076
86400, 17.883283
87300, 17.366391
88200, 17.830789
89100, 18.130036
90000, 16.166303
90900, 15.699038
91800, 16.118848
92700, 16.389365
93600, 17.489003
94500, 16.983507
95400, 17.437666
96300, 17.730316
97200, 17.237922
98100, 16.739683
99000, 17.187322
99900, 17.475770
100800, 16.638152
101700, 16.157249
102600, 16.589313
103500, 16.867725
104400, 17.730390
105300, 17.217917
106200, 17.678344
107100, 17.975033
108000, 38.430826
108900, 37.320035
109800, 38.318016
110700, 38.961093
111600, 144.712982
112500, 140.530252
113400, 144.288193
114300, 146.709729
115200, 299.951060
116100, 291.281386
117000, 299.070586
117900, 304.089779
118800, 319.215262
119700, 309.988783
120600, 318.278240
121500, 323.619788
122400, 356.108527
123300, 345.815699
124200, 355.063209
125100, 361.022105
126000, 339.846047
126900, 330.023263
127800, 338.848466
128700, 344.535236
129600, 333.012157
130500, 323.386898
131400, 332.034636
132300, 337.607052
133200, 283.582708
134100, 275.386139
135000, 282.750282
135900, 287.495576
136800, 291.281984
137700, 282.862878
138600, 290.426957
139500, 295.301087
140400, 307.690262
141300, 298.796897
142200, 306.787071
143100, 311.935766
144000, 329.010236
144900, 319.500647
145800, 328.044463
146700, 333.549913
147600, 321.964384
148500, 312.658446
149400, 321.019293
150300, 326.406843
151200, 312.885772
152100, 303.842238
153000, 311.967330
153900, 317.202963
154800, 312.598275
155700, 303.563051
156600, 311.680677
157500, 316.911500
158400, 305.414094
159300, 296.586519
160200, 304.517584
161100, 309.628191
162000, 321.024790
162900, 311.746009
163800, 320.082457
164700, 325.454283
165600, 221.891985
166500, 215.478502
167400, 221.240646
168300, 224.953647
169200, 116.662214
170100, 113.290253
171000, 116.319765
171900, 118.271917
172800, 18.748545
173700, 18.206644
174600, 18.693511
175500, 19.007237
176400, 16.948491
177300, 16.458618
178200, 16.898740
179100, 17.182346
180000, 18.335189
180900, 17.805235
181800, 18.281368
182700, 18.588177
183600, 18.071959
184500, 17.549614
185400, 18.018911
186300, 18.321316
187200, 17.443170
188100, 16.938999
189000, 17.391968
189900, 17.683851
190800, 18.588254
191700, 18.050986
192600, 18.533690
193500, 18.844735
194400, 40.290257
195300, 39.125723
196200, 40.171990
197100, 40.846181
198000, 151.714755
198900, 147.329648
199800, 151.269413
200700, 153.808112
201600, 314.463850
202500, 305.374704
203400, 313.540776
204300, 318.802816
205200, 334.660128
206100, 324.987237
207000, 333.677770
207900, 339.277762
208800, 373.338432
209700, 362.547597
210600, 372.242538
211500, 378.489748
212400, 356.289110
213300, 345.991063
214200, 355.243263
215100, 361.205180
216000, 349.124570
216900, 339.033604
217800, 348.099753
218700, 353.941784
219600, 297.303534
220500, 288.710383
221400, 296.430832
222300, 301.405722
223200, 305.375330
224100, 296.548876
225000, 304.478935
225900, 309.588893
226800, 322.577504
227700, 313.253844
228600, 321.630613
229500, 327.028422
230400, 344.929022
231300, 334.959322
232200, 343.916520
233100, 349.688345
234000, 337.542264
234900, 327.786068
235800, 336.551446
236700, 342.199666
237600, 328.024393
238500, 318.543298
239400, 327.061513
240300, 332.550467
241200, 327.722987
242100, 318.250604
243000, 326.760992
243900, 332.244902
244800, 320.191206
245700, 310.936519
246600, 319.251320
247500, 324.609198
248400, 336.557208
249300, 326.829484
250200, 335.569281
251100, 341.201018
252000, 232.627976
252900, 225.904184
253800, 231.945122
254700, 235.837772
255600, 122.306782
256500, 118.771672
257400, 121.947764
258300, 123.994368
259200, 18.245611
260100, 17.718247
261000, 18.192053
261900, 18.497364
262800, 16.493843
263700, 16.017111
264600, 16.445427
265500, 16.721425
266400, 17.843343
267300, 17.327605
268200, 17.790966
269100, 18.089545
270000, 17.587175
270900, 17.078841
271800, 17.535549
272700, 17.829842
273600, 16.975253
274500, 16.484607
275400, 16.925424
276300, 17.209477
277200, 18.089620
278100, 17.566764
279000, 18.036520
279900, 18.339220
280800, 39.209461
281700, 38.076166
282600, 39.094366
283500, 39.750473
284400, 147.644970
285300, 143.377495
286200, 147.211575
287100, 149.682173
288000, 306.028282
288900, 297.182955
289800, 305.129970
290700, 310.250854
291600, 325.682791
292500, 316.269377
293400, 324.726784
294300, 330.176555
295200, 363.323539
296100, 352.822171
297000, 362.257043
297900, 368.336671
298800, 346.731570
299700, 336.709770
300600, 345.713777
301500, 351.515765
302400, 339.759220
303300, 329.938947
304200, 338.761894
305100, 344.447211
306000, 289.328296
306900, 280.965658
307800, 288.479004
308700, 293.320442
309600, 297.183564
310500, 288.593881
311400, 296.311215
312300, 301.284097
313200, 313.924286
314100, 304.850735
315000, 313.002795
315900, 318.255807
316800, 335.676218
317700, 325.973958
318600, 334.690878
319500, 340.307872
320400, 328.487612
321300, 318.993129
322200, 327.523373
323100, 333.020078
324000, 319.225060
324900, 309.998298
325800, 318.288010
326700, 323.629721
327600, 318.931739
328500, 309.713455
329400, 317.995550
330300, 323.332353
331200, 311.602001
332100, 302.595573
333000, 310.687327
333900, 315.901479
334800, 327.528981
335700, 318.062205
336600, 326.567555
337500, 332.048219
338400, 226.387675
339300, 219.844250
340200, 225.723139
341100, 229.511368
342000, 119.025873
342900, 115.585594
343800, 118.676486
344700, 120.668190
345600, 24.951914
346500, 24.230714
347400, 24.878671
348300, 25.296200
349200, 22.556272
350100, 21.904314
351000, 22.490061
351900, 22.867503
352800, 24.401790
353700, 23.696489
354600, 24.330161
355500, 24.738485
356400, 24.051465
357300, 23.356290
358200, 23.980864
359100, 24.383327
360000, 23.214627
360900, 22.543640
361800, 23.146483
362700, 23.534942
363600, 24.738588
364500, 24.023553
365400, 24.665970
366300, 25.079930
367200, 53.621176
368100, 52.071330
369000, 53.463777
369900, 54.361040
370800, 201.912923
371700, 196.076907
372600, 201.320230
373500, 204.698914
374400, 418.511142
375300, 406.414652
376200, 417.282648
377100, 424.285750
378000, 445.389803
378900, 432.516423
379800, 444.082411
380700, 451.535283
381600, 496.865676
382500, 482.504456
383400, 495.407181
384300, 503.721419
385200, 474.175210
386100, 460.469827
387000, 472.783321
387900, 480.717871
388800, 464.640125
389700, 451.210340
390600, 463.276225
391500, 471.051220
392400, 395.672957
393300, 384.236573
394200, 394.511502
395100, 401.132444
396000, 406.415485
396900, 394.668603
397800, 405.222497
398700, 412.023198
399600, 429.309377
400500, 416.900779
401400, 428.049186
402300, 435.232979
403200, 459.056386
404100, 445.787992
405000, 457.708877
405900, 465.390437
406800, 449.225557
407700, 436.241309
408600, 447.906905
409500, 455.423963
410400, 436.558489
411300, 423.940365
412200, 435.277019
413100, 442.582114
414000, 436.157356
414900, 423.550826
415800, 434.877063
416700, 442.175446
417600, 426.133520
418500, 413.816716
419400, 424.882652
420300, 432.013302
421200, 447.914574
422100, 434.968218
423000, 446.599770
423900, 454.094890
424800, 309.598066
425700, 300.649559
426600, 308.689275
427500, 313.869894
428400, 162.774675
429300, 158.069896
430200, 162.296868
431100, 165.020637
432000, 40.353183
432900, 39.186829
433800, 40.234730
434700, 40.909975
435600, 36.478859
436500, 35.424488
437400, 36.371780
438300, 36.982194
439200, 39.463500
440100, 38.322862
441000, 39.347659
441900, 40.008017
442800, 38.896942
443700, 37.772679
444600, 38.782764
445500, 39.433641
446400, 37.543576
447300, 36.458431
448200, 37.433371
449100, 38.061602
450000, 40.008183
450900, 38.851801
451800, 39.890743
452700, 40.560215
453600, 86.718201
454500, 84.211731
455400, 86.463650
456300, 87.914737
457200, 326.541242
458100, 317.103016
459000, 325.582716
459900, 331.046852
460800, 676.832101
461700, 657.269199
462600, 674.845335
463500, 686.171017
464400, 720.301294
465300, 699.481974
466200, 718.186928
467100, 730.239997
468000, 803.550028
468900, 780.324518
469800, 801.191295
470700, 814.637396
471600, 766.854146
472500, 744.689280
473400, 764.603130
474300, 777.435185
475200, 751.433644
476100, 729.714486
477000, 749.227893
477900, 761.801910
478800, 639.897322
479700, 621.401969
480600, 638.018974
481500, 648.726613
482400, 657.270547
483300, 638.273044
484200, 655.341201
485100, 666.339553
486000, 694.295418
486900, 674.227762
487800, 692.257390
488700, 703.875292
489600, 742.403410
490500, 720.945259
491400, 740.224166
492300, 752.647078
493200, 726.504620
494100, 705.506002
495000, 724.372046
495900, 736.528917
496800, 706.018956
497700, 685.612448
498600, 703.946515
499500, 715.760592
500400, 705.370228
501300, 684.982470
502200, 703.299691
503100, 715.102913
504000, 689.159301
504900, 669.240098
505800, 687.136350
506700, 698.668308
507600, 724.384448
508500, 703.447110
509400, 722.258097
510300, 734.379491
511200, 500.693742
512100, 486.221877
513000, 499.224011
513900, 507.602305
514800, 263.245382
515700, 255.636635
516600, 262.472654
517500, 266.877636
518400, 39.004138
519300, 37.876777
520200, 38.889646
521100, 39.542316
522000, 35.259337
522900, 34.240214
523800, 35.155837
524700, 35.745844
525600, 38.144198
526500, 37.041692
527400, 38.032230
528300, 38.670511
529200, 37.596580
530100, 36.509903
531000, 37.486220
531900, 38.115337
532800, 36.288459
533700, 35.239591
534600, 36.181938
535500, 36.789166
536400, 38.670672
537300, 37.552949
538200, 38.557158
539100, 39.204249
540000, 83.819130
540900, 81.396453
541800, 83.573088
542700, 84.975665
543600, 315.624660
544500, 306.501963
545400, 314.698179
546300, 319.979643
547200, 654.204966
548100, 635.296070
549000, 652.284619
549900, 663.231673
550800, 696.220942
551700, 676.097631
552600, 694.177262
553500, 705.827385
554400, 776.686593
555300, 754.237533
556200, 774.406714
557100, 787.403299
558000, 741.217489
558900, 719.793615
559800, 739.041726
560700, 751.444793
561600, 726.312508
562500, 705.319442
563400, 724.180497
564300, 736.334154
565200, 618.504951
566100, 600.627915
567000, 616.689398
567900, 627.039070
568800, 635.297372
569700, 616.934974
570600, 633.432527
571500, 644.063193
572400, 671.084467
573300, 651.687692
574200, 669.114572
575100, 680.344077
576000, 717.584164
576900, 696.843379
577800, 715.477774
578700, 727.485376
579600, 702.216886
580500, 681.920271
581400, 700.155605
582300, 711.906061
583200, 682.416077
584100, 662.691777
585000, 680.412919
585900, 691.832040
586800, 681.789036
587700, 662.082860
588600, 679.787719
589500, 691.196348
590400, 666.120056
591300, 646.866770
592200, 664.164733
593100, 675.311167
594000, 700.167593
594900, 679.930210
595800, 698.112328
596700, 709.828491
597600, 483.955078
598500, 469.967021
599400, 482.534481
600300, 490.632681
601200, 254.444840
602100, 247.090461
603000, 253.697945
603900, 257.955665
604800, 16.539028
605700, 16.060990
606600, 16.490480
607500, 16.767233
608400, 14.951110
609300, 14.518969
610200, 14.907223
611100, 15.157405
612000, 16.174386
612900, 15.706887
613800, 16.126907
614700, 16.397559
615600, 15.942178
616500, 15.481391
617400, 15.895381
618300, 16.162148
619200, 15.387492
620100, 14.942737
621000, 15.342323
621900, 15.599808
622800, 16.397628
623700, 15.923677
624600, 16.349494
625500, 16.623882
626400, 35.542048
627300, 34.514754
628200, 35.437718
629100, 36.032457
630000, 133.835163
630900, 129.966841
631800, 133.442304
632700, 135.681818
633600, 277.404269
634500, 269.386279
635400, 276.589979
636300, 281.231887
637200, 295.220415
638100, 286.687474
639000, 294.353828
639900, 299.293860
640800, 329.340478
641700, 319.821344
642600, 328.373735
643500, 333.884712
644400, 314.300420
645300, 305.215998
646200, 313.377826
647100, 318.637131
648000, 307.980221
648900, 299.078476
649800, 307.076179
650700, 312.229726
651600, 262.266297
652500, 254.685850
653400, 261.496443
654300, 265.885042
655200, 269.386832
656100, 261.600575
657000, 268.596076
657900, 273.103826
658800, 284.561728
659700, 276.336862
660600, 283.726429
661500, 288.488106
662400, 304.279118
663300, 295.484348
664200, 303.385940
665100, 308.477556
666000, 297.762891
666900, 289.156463
667800, 296.888840
668700, 301.871417
669600, 289.366701
670500, 281.002954
671400, 288.517297
672300, 293.359377
673200, 289.100815
674100, 280.744753
675000, 288.252192
675900, 293.089823
676800, 282.456656
677700, 274.292634
678600, 281.627535
679500, 286.353987
680400, 296.893924
681300, 288.312612
682200, 296.022424
683100, 300.990460
684000, 205.212757
684900, 199.281364
685800, 204.610377
686700, 208.044278
687600, 107.892921
688500, 104.774424
689400, 107.576213
690300, 109.381626
691200, 16.486315
692100, 16.009801
693000, 16.437922
693900, 16.713793
694800, 14.903458
695700, 14.472694
696600, 14.859711
697500, 15.109096
698400, 16.122835
699300, 15.656826
700200, 16.075508
701100, 16.345297
702000, 15.891367
702900, 15.432049
703800, 15.844720
704700, 16.110636
705600, 15.338449
706500, 14.895112
707400, 15.293425
708300, 15.550088
709200, 16.345365
710100, 15.872925
711000, 16.297385
711900, 16.570898
712800, 35.428769
713700, 34.404749
714600, 35.324772
715500, 35.917615
716400, 133.408606
717300, 129.552613
718200, 133.017000
719100, 135.249375
720000, 276.520131
720900, 268.527696
721800, 275.708437
722700, 280.335551
723600, 294.279494
724500, 285.773749
725400, 293.415669
726300, 298.339956
727200, 328.290811
728100, 318.802015
729000, 327.327149
729900, 332.820561
730800, 313.298688
731700, 304.243219
732600, 312.379034
733500, 317.621577
734400, 306.998633
735300, 298.125259
736200, 306.097472
737100, 311.234594
738000, 261.430407
738900, 253.874120
739800, 260.663006
740700, 265.037618
741600, 268.528247
742500, 260.766807
743400, 267.740012
744300, 272.233395
745200, 283.654779
746100, 275.456127
747000, 282.822141
747900, 287.568642
748800, 303.309326
749700, 294.542586
750600, 302.418995
751500, 307.494382
752400, 296.813866
753300, 288.234869
754200, 295.942602
755100, 300.909298
756000, 288.444437
756900, 280.107347
757800, 287.597740
758700, 292.424388
759600, 288.179399
760500, 279.849969
761400, 287.333480
762300, 292.155693
763200, 281.556416
764100, 273.418414
765000, 280.729938
765900, 285.441325
766800, 295.947669
767700, 287.393708
768600, 295.078947
769500, 300.031149
770400, 204.558707
771300, 198.646218
772200, 203.958247
773100, 207.381204
774000, 107.549047
774900, 104.440489
775800, 107.233349
776700, 109.033007
777600, 17.283987
778500, 16.784417
779400, 17.233252
780300, 17.522471
781200, 15.624545
782100, 15.172939
783000, 15.578681
783900, 15.840132
784800, 16.902920
785700, 16.414364
786600, 16.853303
787500, 17.136146
788400, 16.660253
789300, 16.178711
790200, 16.611349
791100, 16.890131
792000, 16.080582
792900, 15.615795
793800, 16.033379
794700, 16.302462
795600, 17.136217
796500, 16.640918
797400, 17.085916
798300, 17.372662
799200, 37.142950
800100, 36.069384
801000, 37.033921
801900, 37.655448
802800, 139.863429
803700, 135.820869
804600, 139.452876
805500, 141.793262
806400, 289.899243
807300, 281.520103
808200, 289.048275
809100, 293.899267
810000, 308.517872
810900, 299.600586
811800, 307.612251
812700, 312.774795
813600, 344.174787
814500, 334.226887
815400, 343.164500
816300, 348.923704
817200, 328.457287
818100, 318.963681
819000, 327.493137
819900, 332.989335
820800, 321.852412
821700, 312.549710
822600, 320.907649
823500, 326.293325
824400, 274.079419
825300, 266.157529
826200, 273.274889
827100, 277.861161
828000, 281.520680
828900, 273.383712
829800, 280.694307
830700, 285.405097
831600, 297.379092
832500, 288.783758
833400, 296.506168
834300, 301.482323
835200, 317.984602
836100, 308.793693
837000, 317.051193
837900, 322.372147
838800, 311.174867
839700, 302.180785
840600, 310.261447
841500, 315.468452
842400, 302.400492
843300, 293.660021
844200, 301.512829
845100, 306.573008
846000, 302.122631
846900, 293.390191
847800, 301.235783
848700, 306.291313
849600, 295.179202
850500, 286.647452
851400, 294.312736
852300, 299.252079
853200, 310.266759
854100, 301.298925
855000, 309.356005
855900, 314.547814
856800, 214.456047
857700, 208.257489
