# ENERGY DEMAND GROUP 01
# Apartment block in Eindhoven with an annual energy consumption of 5.68e+10 J.
#
# time [s], power [kW]
0, 0.130752
900, 0.123752
1800, 0.131515
2700, 0.133115
3600, 0.111571
4500, 0.105598
5400, 0.112223
6300, 0.113588
7200, 0.098305
8100, 0.093043
9000, 0.098880
9900, 0.100082
10800, 0.101026
11700, 0.095617
12600, 0.101616
13500, 0.102851
14400, 0.096450
15300, 0.091286
16200, 0.097013
17100, 0.098193
18000, 0.099520
18900, 0.094193
19800, 0.100102
20700, 0.101319
21600, 0.212766
22500, 0.201376
23400, 0.214009
24300, 0.216612
25200, 0.868403
26100, 0.821914
27000, 0.873474
27900, 0.884097
28800, 1.984660
29700, 1.878415
30600, 1.996251
31500, 2.020528
32400, 2.163963
33300, 2.048119
34200, 2.176601
35100, 2.203072
36000, 2.217653
36900, 2.098935
37800, 2.230605
38700, 2.257732
39600, 1.919876
40500, 1.817099
41400, 1.931089
42300, 1.954574
43200, 1.919463
44100, 1.816708
45000, 1.930673
45900, 1.954153
46800, 1.854137
47700, 1.754879
48600, 1.864965
49500, 1.887646
50400, 1.640600
51300, 1.552773
52200, 1.650182
53100, 1.670250
54000, 1.576462
54900, 1.492069
55800, 1.585669
56700, 1.604953
57600, 1.733458
58500, 1.640660
59400, 1.743582
60300, 1.764786
61200, 1.825621
62100, 1.727889
63000, 1.836283
63900, 1.858615
64800, 1.892003
65700, 1.790717
66600, 1.903052
67500, 1.926196
68400, 1.953939
69300, 1.849338
70200, 1.965351
71100, 1.989252
72000, 1.910328
72900, 1.808062
73800, 1.921485
74700, 1.944853
75600, 1.906513
76500, 1.804451
77400, 1.917647
78300, 1.940968
79200, 1.409284
80100, 1.333841
81000, 1.417515
81900, 1.434754
82800, 0.742471
83700, 0.702724
84600, 0.746807
85500, 0.755889
86400, 0.111197
87300, 0.105244
88200, 0.111847
89100, 0.113207
90000, 0.094885
90900, 0.089806
91800, 0.095440
92700, 0.096600
93600, 0.083603
94500, 0.079128
95400, 0.084092
96300, 0.085114
97200, 0.085917
98100, 0.081317
99000, 0.086419
99900, 0.087469
100800, 0.082025
101700, 0.077634
102600, 0.082504
103500, 0.083508
104400, 0.084637
105300, 0.080106
106200, 0.085131
107100, 0.086166
108000, 0.180946
108900, 0.171260
109800, 0.182003
110700, 0.184217
111600, 0.738530
112500, 0.698994
113400, 0.742843
114300, 0.751877
115200, 1.687846
116100, 1.597490
117000, 1.697704
117900, 1.718350
118800, 1.840334
119700, 1.741815
120600, 1.851082
121500, 1.873594
122400, 1.885994
123300, 1.785031
124200, 1.897009
125100, 1.920079
126000, 1.632751
126900, 1.545345
127800, 1.642287
